,zcr_mean,sc_mean,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,zcr_vcr,sc_var,mfcc_var1,mfcc_var2,mfcc_var3,mfcc_var4,mfcc_var5,mfcc_var6,mfcc_var7,mfcc_var8,mfcc_var9,mfcc_var10,mfcc_var11,mfcc_var12,mfcc_var13,mfcc_var14,mfcc_var15,mfcc_var16,mfcc_var17,mfcc_var18,mfcc_var19,mfcc_var20,label
0,-0.528915247,-0.347028864,0.464887481,0.212227181,-0.500024329,0.320733306,-0.164984301,0.207261551,0.020194003,-0.024849086,-0.147451722,-0.120948946,-0.191452689,-0.32401865,-0.084966256,-0.43809425,0.007901616,-0.465184747,-0.554190416,-0.240221185,-0.007826482,-0.156168912,-0.979872496,-0.976232157,-0.885719309,-0.954548295,-0.972274726,-0.966820011,-0.949521105,-0.918395797,-0.894789577,-0.959607166,-0.900526145,-0.910801607,-0.886129899,-0.920114171,-0.927978598,-0.921911328,-0.931941668,-0.969077872,-0.926200515,-0.930010911,-0.956569746,-0.863926947,music
1,-0.446040317,-0.197576306,0.905370486,0.019626467,-0.52886418,-0.116086439,-0.125050005,0.350027847,0.338952726,0.058481119,-0.264031383,-0.409949616,-0.014802682,-0.138246045,-0.049389637,-0.321222304,0.228024993,-0.352664153,-0.160084379,0.084953954,0.057504824,-0.200654171,-0.981106221,-0.937293499,-0.853942135,-0.861942553,-0.858706938,-0.791908322,-0.905251263,-0.798342405,-0.88399414,-0.433412602,-0.76208425,-0.802280398,-0.702164087,-0.601070217,-0.356714638,-0.321238936,-0.753225736,-0.632298087,-0.240161277,-0.480144802,-0.654021497,-0.802540154,music
2,-0.494545485,-0.339620305,0.61596795,0.199163823,-0.383241162,0.655969956,0.009619552,0.354644196,-0.221171354,0.575633688,0.057133771,-0.197309131,-0.252614187,-0.377989829,-0.226068562,-0.479918368,0.216517688,-0.535608278,-0.322553734,-0.237997181,0.068876816,0.086654235,-0.835530365,-0.863824722,-0.880769067,-0.743172633,-0.861591392,-0.769775866,-0.831820092,-0.900400643,-0.819583832,-0.873918711,-0.928178977,-0.924834131,-0.824350077,-0.74644752,-0.916954886,-0.891486572,-0.923576107,-0.927669853,-0.797382296,-0.837536335,-0.904062676,-0.834712778,music
3,-0.556731166,-0.404232477,0.394967749,0.091387252,-0.587656109,0.419349298,0.53686469,0.097451785,0.216709671,0.438225177,0.088667872,0.458879826,0.15863715,0.065066901,0.055865623,0.025303439,0.761299515,0.409604359,0.079843572,0.129806004,0.166591337,0.211002623,-0.902505356,-0.962891012,-0.9250371,-0.976755784,-0.82528107,-0.860487936,-0.947498379,-0.864569966,-0.880782075,-0.861482157,-0.923929073,-0.893101767,-0.889685587,-0.90082087,-0.832674547,-0.855072847,-0.863516173,-0.844692589,-0.489687281,-0.763091053,-0.849471417,-0.81714901,music
4,-0.902399987,-0.626972711,-0.485292009,0.095864603,0.438247414,0.06772547,0.161101278,0.02884433,-0.127129888,-0.081877294,-0.155511788,-0.512005834,-0.111087119,-0.446739376,-0.196220847,-0.26124336,0.285882143,-0.430972956,-0.491328552,-0.037722711,-0.048629038,-0.309988595,-0.989548112,-0.970848702,-0.850964658,-0.868370562,-0.801788909,-0.789647332,-0.947899157,-0.743594367,-0.894067206,-0.805179118,-0.93309156,-0.836230394,-0.842247607,-0.879171802,-0.875302861,-0.934007806,-0.96261801,-0.92229469,-0.905402308,-0.933620931,-0.906896934,-0.914170237,music
5,-0.630592457,-0.365946832,0.886314701,0.168365884,-0.187495683,0.292171176,0.038150388,0.201635308,0.085074396,-0.27710979,0.084875011,0.264402272,-0.215079044,-0.016263581,-0.487095586,-0.248143069,0.462067554,-0.159632909,-0.488951225,-0.182323163,0.224258456,0.22603582,-0.928283187,-0.928893018,-0.85858776,-0.893791587,-0.833221353,-0.889828747,-0.943278701,-0.877939331,-0.881208936,-0.905774105,-0.581719846,-0.671312348,-0.420093519,0.332252149,-0.636430469,-0.633496656,-0.771602687,-0.798949151,-0.53860809,-0.75476115,-0.759374575,-0.712916062,music
6,-0.484352492,0.013385897,0.804011353,-0.155990567,-0.050635582,-0.098194954,0.386763924,0.521998149,-0.20501834,0.318789409,0.148562365,0.261750907,-0.157930466,-0.353767985,-0.13685099,-0.538836189,-0.070061851,-0.417615693,-0.585850938,-0.260886659,-0.162268922,-0.027955657,-0.957458174,-0.789266799,-0.73911356,-0.817081559,-0.850671669,-0.915734223,-0.840082268,-0.899128885,-0.888259056,-0.878449127,-0.916696984,-0.86480732,-0.87646627,-0.919667136,-0.895374725,-0.909985771,-0.949285385,-0.93859238,-0.8866371,-0.921254917,-0.849561983,-0.660637911,music
7,-0.662502422,-0.229525832,0.448842788,0.084961332,0.058415842,-0.028575946,-0.140317042,0.456570366,-0.042893848,0.203299024,0.003260785,-0.146723686,0.032017587,-0.336429232,-0.22162772,-0.520290191,-0.228118833,-0.353081285,-0.605319899,-0.064752455,-0.329947691,-0.112447634,-0.948857532,-0.776134581,-0.840760343,-0.76980117,-0.824057987,-0.929859916,-0.902234656,-0.94410326,-0.911892167,-0.925532108,-0.942705999,-0.935714229,-0.94286335,-0.850181427,-0.79615472,-0.922830424,-0.925734378,-0.907477776,-0.743206572,-0.882907149,-0.909608011,-0.926448599,music
8,-0.738907749,-0.670812172,-0.131101525,0.407095323,-0.09996092,-0.636500498,0.226397424,-0.00620474,-0.140952408,-0.283324434,-0.354567585,-0.434203609,0.078320246,-0.109042977,-0.03793636,-0.448173885,0.211857749,0.031738619,-0.030640387,-0.004423441,0.037457019,-0.032344774,-0.990734887,-0.993020388,-0.96369215,-0.986125354,-0.907312186,-0.94840243,-0.964878278,-0.907819896,-0.928699778,-0.8744912,-0.908163441,-0.882757606,-0.833395732,-0.881290777,-0.870556497,-0.944833574,-0.963718752,-0.963999426,-0.906895782,-0.877519353,-0.949434869,-0.782817302,music
9,-0.762006251,-0.434957728,0.261707106,0.204465218,0.126134744,-0.013799015,0.132962833,0.282149412,0.271326455,0.182346955,0.074578074,-0.271418536,-0.382601345,-0.245150112,-0.320039099,-0.744479623,-0.028620081,0.077321482,0.283685192,0.512114659,0.138525443,-0.234554439,-0.974581871,-0.855599135,-0.902089694,-0.752286989,-0.697529361,-0.930176632,-0.937671387,-0.846422042,-0.929499505,-0.759646745,-0.958143938,-0.857242621,-0.623095859,-0.939943975,-0.811021947,-0.551853469,-0.633624232,-0.773405196,-0.768400536,-0.684691002,-0.728466301,-0.869155949,music
