,zcr_mean,sc_mean,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,zcr_vcr,sc_var,mfcc_var1,mfcc_var2,mfcc_var3,mfcc_var4,mfcc_var5,mfcc_var6,mfcc_var7,mfcc_var8,mfcc_var9,mfcc_var10,mfcc_var11,mfcc_var12,mfcc_var13,mfcc_var14,mfcc_var15,mfcc_var16,mfcc_var17,mfcc_var18,mfcc_var19,mfcc_var20,label
0,-0.768377228,-0.312394226,0.64125135,0.221772008,0.000908148,0.232295151,-0.122919822,0.59262678,-0.241108807,0.187848715,-0.150927672,-0.104937321,0.037793101,-0.651436193,-0.305027994,-0.678463113,-0.332750343,-0.5621279,-0.610707861,-0.605755147,-0.05812741,-0.485377244,-0.946186497,-0.404296903,-0.256175613,-0.32085235,-0.589814897,-0.882276563,-0.824932894,-0.873800732,-0.786716226,-0.842886258,-0.833102648,-0.825973582,-0.607287955,-0.736003537,-0.683748487,-0.773244313,-0.723509273,-0.828249013,-0.84091184,-0.807416694,-0.717168075,-0.593418749,music
1,-0.774187106,-0.565916416,-0.019676878,0.342226233,-0.141171031,0.193339652,0.304882606,-0.021256027,0.280352881,0.280961235,0.164469702,0.215305667,0.006722413,-0.563020544,-0.21006387,-0.669717493,0.14078405,0.178816283,0.325060989,0.250671241,0.419065211,0.043588574,-0.959931863,-0.960566064,-0.772423974,-0.893374963,-0.568290045,-0.752092118,-0.874206397,-0.840625545,-0.83524514,-0.696168442,-0.807868688,-0.701342664,-0.628918128,-0.616279725,-0.208314244,-0.357038751,-0.406505197,-0.52924058,-0.549448014,-0.135651273,-0.236867309,0.024282199,music
2,-0.621041499,-0.368561429,0.273719329,0.20624127,-0.049069768,0.077143543,-0.050809802,-0.074364771,-0.368018119,-0.424610549,-0.417036477,-0.382131374,-0.500794218,-0.734793327,-0.352186582,-0.564112595,-0.26729065,-0.448456271,-0.246707883,-0.037870439,0.148744901,-0.496311785,-0.583552339,-0.335263844,0.471652049,-0.070872813,0.816078097,-0.669010441,-0.705865708,-0.746813844,-0.624204957,-0.65465497,-0.637910717,-0.287650417,-0.422965402,0.216137317,-0.389293532,0.120979603,-0.621676121,-0.470819701,-0.729247978,-0.495305801,-0.095582449,-0.552026365,music
3,-0.552203311,-0.111052006,0.634287995,0.079482396,-0.091380368,0.108261996,-0.00806638,0.321221629,-0.129636212,0.167831683,-0.267540119,0.139444623,0.378429305,-0.497489186,-0.298607128,-0.783044047,-0.701921269,-0.175185555,-0.573693975,-0.255315746,-0.172914041,-0.164655883,-0.869450781,-0.634402661,-0.806037191,-0.670307907,-0.590103345,-0.861361936,-0.831929617,-0.744914263,-0.786884456,-0.855304575,-0.801838515,-0.817391602,-0.712783488,-0.750148014,-0.604304391,-0.716053954,-0.675222917,-0.620778641,-0.76313199,-0.728114005,-0.720419369,-0.588558018,music
4,-0.552885987,-0.361213625,0.712349265,0.302133995,-0.362840651,0.887601326,0.066463691,0.403371256,-0.272487677,0.650373174,0.055294848,0.249450554,-0.182222728,-0.451047529,-0.158255264,-0.704271973,-0.008105313,-0.863281131,-0.172399103,-0.662212456,0.028476965,0.034764773,-0.77313111,-0.851324341,-0.765082286,-0.772009262,-0.60629448,-0.721735581,-0.806627742,-0.840871861,-0.7804166,-0.816757629,-0.877253532,-0.854569279,-0.804490508,-0.771045161,-0.741863289,-0.797700833,-0.794633557,-0.751675869,-0.786768886,-0.798801548,-0.827064711,-0.694062751,music
5,-0.864389993,-0.525535865,0.079244918,0.069953319,0.14508779,1,0.490896078,0.756406409,0.426606107,0.823796778,0.130962165,0.649457928,0.55372305,-0.467904057,-0.125437584,-0.573690792,-0.267923838,-0.541833687,-0.398179192,-0.368111395,0.112302751,-0.087498417,-0.843692532,-0.513185803,-0.11788422,-0.252871087,0.158938235,-0.21088138,-0.370477089,-0.558950974,-0.279647038,-0.418268459,-0.477057746,-0.262231344,-0.317758892,-0.463581219,-0.231722053,-0.410724021,-0.465896685,-0.515139961,-0.605220307,-0.535788391,-0.362366802,0.424736972,music
6,-0.447366705,-0.10292991,0.496695946,-0.029622434,-0.435953782,0.340881934,0.385969975,-0.354191117,-0.448145333,-0.533407588,-0.9304533,-0.371496459,-0.683862209,-0.522311261,-0.410061719,-0.47970989,0.694061715,0.107202576,0.885205169,0.600322014,0.481942369,0.445234311,-0.54896207,-0.60540116,-0.850587472,-0.765064888,-0.643250525,-0.711420303,-0.88610379,-0.736042432,-0.71948826,-0.680927052,-0.649232739,-0.708539952,-0.636591114,-0.622703882,-0.379574143,-0.393800598,-0.576198174,-0.521618924,-0.342996484,-0.466946672,-0.590410719,-0.605985603,music
7,-0.68089078,-0.17885242,0.35857875,0.020816377,0.087974609,0.200204241,0.251374678,0.510227705,0.092764413,0.090612168,-0.017586285,0.35673643,0.277096061,-0.300515846,-0.233284389,-0.59152715,-0.168976407,-0.253693585,-0.174354042,0.07293466,0.164753448,-0.053793644,-0.75401861,-0.488837513,-0.591850507,-0.670603625,-0.533104367,-0.475128406,-0.596428648,-0.647179721,-0.525739225,-0.501954657,-0.659853796,-0.557580132,-0.490333529,-0.537751514,-0.365421558,-0.384355629,-0.352982884,-0.418927164,-0.410627854,-0.394092962,-0.076512539,1,music
8,-0.724400672,-0.587097082,0.074211768,0.461997803,-0.07873252,-0.310790612,0.095999814,0.084908835,-0.091667802,0.025418177,-0.131900807,0.195113832,0.287345153,-0.485386503,-0.238271406,-0.629906331,0.092043031,-0.031018154,0.154494966,0.06171212,0.239250506,-0.175718492,-0.904008441,-0.841469679,-0.352992012,-0.784343172,0.103363944,-0.365658816,-0.831739845,-0.857586529,-0.884681753,-0.902770363,-0.868052958,-0.864675636,-0.735131424,-0.810859153,-0.605042614,-0.438795351,-0.213644188,-0.381208575,-0.580055466,-0.470950813,-0.519729682,-0.656159444,music
9,-0.42758133,0.025814303,0.999102332,-0.061284251,-0.225523896,0.237278469,0.390112199,0.092738029,-0.035863073,0.144173726,-0.087610287,0.354333679,-0.258249653,-0.373412273,-0.146798769,-0.67133727,-0.190921862,-0.120772443,0.285895079,0.364303445,0.1146891,0.113925749,-0.783139283,-0.595262434,-0.422109858,-0.658560377,-0.506760809,-0.618684479,-0.764030354,-0.454947065,-0.32412082,-0.625801366,-0.756851503,-0.514157263,-0.501069247,-0.374879802,-0.454794771,-0.263130703,-0.450484794,-0.406066433,-0.559010775,-0.360615108,-0.321019396,-0.414464905,music
